###############################################################################
###############################################################################

RK45 RESULTS

Tolerance:	1e-05 * y_n

###############################################################################
###############################################################################

t	, y(t)	, Δt	, LTE
5.061243, 3.020156, 0.029942, -0.000030
5.091269, 3.001189, 0.030027, -0.000030
5.121413, 2.982447, 0.030144, -0.000029
5.151711, 2.963937, 0.030298, -0.000029
5.182204, 2.945668, 0.030493, -0.000029
5.212938, 2.927648, 0.030735, -0.000028
5.243966, 2.909885, 0.031027, -0.000028
5.275343, 2.892389, 0.031378, -0.000027
5.307136, 2.875169, 0.031793, -0.000027
5.339417, 2.858237, 0.032281, -0.000027
5.372270, 2.841606, 0.032853, -0.000026
5.405793, 2.825294, 0.033523, -0.000026
5.440100, 2.809321, 0.034307, -0.000025
5.475327, 2.793711, 0.035227, -0.000024
5.511638, 2.778497, 0.036311, -0.000024
5.549237, 2.763720, 0.037599, -0.000023
5.588382, 2.749430, 0.039145, -0.000022
5.629406, 2.735699, 0.041024, -0.000022
5.672759, 2.722619, 0.043353, -0.000021
5.719072, 2.710322, 0.046312, -0.000019
5.769280, 2.699000, 0.050209, -0.000018
5.824900, 2.688952, 0.055620, -0.000016
5.888722, 2.680676, 0.063822, -0.000013
5.967372, 2.675134, 0.078650, -0.000009
6.101588, 2.674704, 0.134216, -0.000002
6.228554, 2.693816, 0.126966, 0.000027
6.299580, 2.711652, 0.071025, 0.000027
6.355543, 2.729357, 0.055963, 0.000027
6.403417, 2.747068, 0.047874, 0.000027
6.446048, 2.764830, 0.042631, 0.000027
6.484935, 2.782665, 0.038887, 0.000028
6.520983, 2.800586, 0.036048, 0.000028
6.554788, 2.818601, 0.033806, 0.000028
6.586769, 2.836715, 0.031981, 0.000028
6.617232, 2.854931, 0.030462, 0.000028
6.646407, 2.873254, 0.029176, 0.000028
6.674477, 2.891684, 0.028070, 0.000029
6.701585, 2.910225, 0.027108, 0.000029
6.727850, 2.928878, 0.026264, 0.000029
6.753367, 2.947645, 0.025517, 0.000029
6.778218, 2.966526, 0.024851, 0.000029
6.802472, 2.985524, 0.024254, 0.000030
6.826188, 3.004639, 0.023716, 0.000030
6.849417, 3.023873, 0.023229, 0.000030
6.872202, 3.043226, 0.022786, 0.000030
6.894584, 3.062701, 0.022382, 0.000030
6.916596, 3.082297, 0.022012, 0.000030
6.938270, 3.102015, 0.021674, 0.000031
6.959633, 3.121858, 0.021363, 0.000031
6.980709, 3.141825, 0.021076, 0.000031
7.001521, 3.161917, 0.020812, 0.000031
7.022089, 3.182137, 0.020568, 0.000031
7.042432, 3.202483, 0.020343, 0.000032
7.062566, 3.222958, 0.020135, 0.000032
7.082508, 3.243562, 0.019942, 0.000032
7.102272, 3.264296, 0.019763, 0.000032
7.121870, 3.285161, 0.019598, 0.000032
7.141316, 3.306159, 0.019446, 0.000033
7.160620, 3.327289, 0.019305, 0.000033
7.179795, 3.348552, 0.019174, 0.000033
7.198849, 3.369951, 0.019054, 0.000033
7.217792, 3.391485, 0.018943, 0.000034
7.236633, 3.413155, 0.018841, 0.000034
7.255381, 3.434963, 0.018748, 0.000034
7.274044, 3.456909, 0.018663, 0.000034
7.292629, 3.478994, 0.018585, 0.000034
7.311143, 3.501219, 0.018514, 0.000035
7.329594, 3.523585, 0.018451, 0.000035
7.347988, 3.546093, 0.018394, 0.000035
7.366332, 3.568744, 0.018343, 0.000035
7.384630, 3.591539, 0.018299, 0.000036
7.402891, 3.614478, 0.018260, 0.000036
7.421118, 3.637563, 0.018227, 0.000036
7.439318, 3.660795, 0.018200, 0.000036
7.457497, 3.684174, 0.018178, 0.000036
7.475658, 3.707701, 0.018161, 0.000037
7.493808, 3.731378, 0.018150, 0.000037
7.511951, 3.755206, 0.018143, 0.000037
7.530092, 3.779185, 0.018141, 0.000037
7.548234, 3.803312, 0.018142, 0.000038
7.566378, 3.827583, 0.018144, 0.000038
7.584526, 3.851994, 0.018148, 0.000038
7.602680, 3.876543, 0.018155, 0.000038
7.620844, 3.901227, 0.018164, 0.000038
7.639021, 3.926046, 0.018177, 0.000039
